# DCT3 broker / MDI trace-event names — NHM-5 (3310 family)
#
# Maps a 16-bit DCT3 trace event-id (the value the firmware hands BROKER_ROUTER /
# BROKER_DELIVER) to its functional name, e.g.  1802  MDI:m2d/CHANNEL_CONFIGURE.
# Consumed by tools/trace_names.h (BROKERLOG) — native tooling only.
#
# PROVENANCE / LICENSE: these are FACTS — the firmware's own Nokia subsystem and
# GSM/protocol message labels. They are cross-referenced against the public
# gammu/dct3trac NHM-5 dictionary (GPLv2, github.com/gammu/gammu), but ONLY the
# bare id->name mapping is transcribed and normalized here; gammu's file text,
# structure, category banners, module/offset hints and per-index annotations are
# NOT reproduced. A list of short functional names keyed by id is not copyrightable
# expression (cf. Feist v. Rural), so this file carries no GPL obligation. Where our
# own RE has independently established a name, ours takes precedence.
#
# Regenerate:  tools/symbols/gen_trace_names.py [INPUT] [OUTPUT]
# Format:  <id:4-hex> <space> <CATEGORY:sub/NAME>   (banners / comments start non-hex)
0900 CS:err/INVALID_PRIMITIVE
1890 MDI:m2d/INVALID_MDI_MSG
1891 MDI:m2d/INVALID_MDI_MSG
1892 MDI:m2d/INVALID_MDI_MSG
1893 MDI:m2d/INVALID_MDI_MSG
1894 MDI:m2d/FBUS_ERROR
1895 MDI:m2d/IR_DISABLED
1896 MDI:m2d/LOOP_BACK_REPLY
1897 MDI:m2d/LOOP_BACK_SHORT_REPLY
1898 MDI:m2d/RTC_CALIBRATION_VALUE
1899 MDI:m2d/TXC_BIAS_MEAS
189A MDI:m2d/RECEIVED_DTE_DATA_BLOCK
189B MDI:m2d/RECEIVED_IRLAP_DATA_BLOCK
189C MDI:m2d/RECEIVED_TCH_DATA_BLOCK
189D MDI:m2d/INVALID_MDI_MSG
189E MDI:m2d/INVALID_MDI_MSG
189F MDI:m2d/INVALID_MDI_MSG
18A0 MDI:m2d/INVALID_MDI_MSG
18A1 MDI:m2d/INVALID_MDI_MSG
18A2 MDI:m2d/INVALID_MDI_MSG
18A3 MDI:m2d/INVALID_MDI_MSG
18A4 MDI:m2d/INVALID_MDI_MSG
18A5 MDI:m2d/INVALID_MDI_MSG
18A6 MDI:m2d/INVALID_MDI_MSG
18A7 MDI:m2d/INVALID_MDI_MSG
18A8 MDI:m2d/INVALID_MDI_MSG
18A9 MDI:m2d/INVALID_MDI_MSG
18AA MDI:m2d/INVALID_MDI_MSG
18AB MDI:m2d/UNKNOWN_MDI_MSG
1900 MDI:d2m/INVALID_MDI_MSG
1901 MDI:d2m/INVALID_MDI_MSG
1902 MDI:d2m/CHANNEL_CONFIGURE
1903 MDI:d2m/DEACTIVATE
1904 MDI:d2m/CBCH
1905 MDI:d2m/FROM_MCU_TO_FBUS
1906 MDI:d2m/CIPHER_KEY
1907 MDI:d2m/MEAS_PLMN_RSSI
1908 MDI:d2m/TYPE_TEST_ENABLED
1909 MDI:d2m/PSW_SEARCH_LIST
190A MDI:d2m/INVALID_MDI_MSG
190B MDI:d2m/HOPPING_PARAMETERS
190C MDI:d2m/IDLE_RA
190D MDI:d2m/MODULATOR_TABLE
190E MDI:d2m/MODULATOR_DC_OFFSET
190F MDI:d2m/NEIGHBOUR_LIST
1910 MDI:d2m/NEXT_BCCH
1911 MDI:d2m/NMEAS_INSTRUCTIONS
1912 MDI:d2m/INVALID_MDI_MSG
1913 MDI:d2m/ON_OFF_CIPHER
1914 MDI:d2m/CIPHER_PARAMETERS
1915 MDI:d2m/INVALID_MDI_MSG
1916 MDI:d2m/INVALID_MDI_MSG
1917 MDI:d2m/INVALID_MDI_MSG
1918 MDI:d2m/INVALID_MDI_MSG
1919 MDI:d2m/INVALID_MDI_MSG
191A MDI:d2m/SEARCH_LIST
191B MDI:d2m/SEND_BLOCK
191C MDI:d2m/INVALID_MDI_MSG
191D MDI:d2m/INVALID_MDI_MSG
191E MDI:d2m/INVALID_MDI_MSG
191F MDI:d2m/TX_CONTROL
1920 MDI:d2m/INVALID_MDI_MSG
1921 MDI:d2m/INVALID_MDI_MSG
1922 MDI:d2m/INVALID_MDI_MSG
1923 MDI:d2m/INVALID_MDI_MSG
1924 MDI:d2m/INVALID_MDI_MSG
1925 MDI:d2m/INVALID_MDI_MSG
1926 MDI:d2m/INVALID_MDI_MSG
1927 MDI:d2m/INVALID_MDI_MSG
1928 MDI:d2m/IR_LINK_STATUS
1929 MDI:d2m/INVALID_MDI_MSG
192A MDI:d2m/INVALID_MDI_MSG
192B MDI:d2m/INVALID_MDI_MSG
192C MDI:d2m/DSP_CONSTANTS
192D MDI:d2m/INVALID_MDI_MSG
192E MDI:d2m/INVALID_MDI_MSG
192F MDI:d2m/INVALID_MDI_MSG
1930 MDI:d2m/TX_ENABLE
1931 MDI:d2m/MEAS_REQ_ON
1932 MDI:d2m/INVALID_MDI_MSG
1933 MDI:d2m/INVALID_MDI_MSG
1934 MDI:d2m/INVALID_MDI_MSG
1935 MDI:d2m/INVALID_MDI_MSG
1936 MDI:d2m/DISCHARGE
1937 MDI:d2m/INVALID_MDI_MSG
1938 MDI:d2m/TYPE_LOOP_BACK
1939 MDI:d2m/PARAMETER_UPDATE
193A MDI:d2m/RX_TX_CONTROL
193B MDI:d2m/TEMPERATURE
193C MDI:d2m/DSP_PARAMETERS
193D MDI:d2m/INVALID_MDI_MSG
193E MDI:d2m/DTX_CONTROL
193F MDI:d2m/POWER_LEVEL_RAMP
1940 MDI:d2m/INVALID_MDI_MSG
1941 MDI:d2m/IGNORE_CBCH_MESSAGE
1942 MDI:d2m/CBCH_BITMAP
1943 MDI:d2m/INVALID_MDI_MSG
1944 MDI:d2m/INVALID_MDI_MSG
1945 MDI:d2m/OWN_BCCH
1946 MDI:d2m/MSI
1947 MDI:d2m/LOOP_BACK
1948 MDI:d2m/LOOP_BACK_SHORT
1949 MDI:d2m/RTC_CALIBRATION_REQUEST
194A MDI:d2m/TXC_BIAS_RESULT
194B MDI:d2m/MORE_RSSI
194C MDI:d2m/FBUS_MODE
194D MDI:d2m/SEND_DTE_DATA_BLOCK
194E MDI:d2m/SEND_IRLAP_DATA_BLOCK
194F MDI:d2m/DATA_CODING_MODE
1950 MDI:d2m/SEND_TCH_DATA_BLOCK
1951 MDI:d2m/INVALID_MDI_MSG
1952 MDI:d2m/INVALID_MDI_MSG
1953 MDI:d2m/INVALID_MDI_MSG
1954 MDI:d2m/INVALID_MDI_MSG
1955 MDI:d2m/INVALID_MDI_MSG
1956 MDI:d2m/INVALID_MDI_MSG
1957 MDI:d2m/INVALID_MDI_MSG
1958 MDI:d2m/INVALID_MDI_MSG
1959 MDI:d2m/INVALID_MDI_MSG
195A MDI:d2m/INVALID_MDI_MSG
195B MDI:d2m/INVALID_MDI_MSG
195C MDI:d2m/INVALID_MDI_MSG
195D MDI:d2m/INVALID_MDI_MSG
195E MDI:d2m/INVALID_MDI_MSG
195F MDI:d2m/INVALID_MDI_MSG
1960 MDI:d2m/INVALID_MDI_MSG
1961 MDI:d2m/INVALID_MDI_MSG
1962 MDI:d2m/INVALID_MDI_MSG
1963 MDI:d2m/INVALID_MDI_MSG
1964 MDI:d2m/INVALID_MDI_MSG
1965 MDI:d2m/INVALID_MDI_MSG
1966 MDI:d2m/INVALID_MDI_MSG
1967 MDI:d2m/INVALID_MDI_MSG
1968 MDI:d2m/INVALID_MDI_MSG
1969 MDI:d2m/INVALID_MDI_MSG
196A MDI:d2m/INVALID_MDI_MSG
196B MDI:d2m/INVALID_MDI_MSG
196C MDI:d2m/INVALID_MDI_MSG
196D MDI:d2m/INVALID_MDI_MSG
196E MDI:d2m/INVALID_MDI_MSG
196F MDI:d2m/INVALID_MDI_MSG
1970 MDI:d2m/COMMAND_LOCAL
1971 MDI:d2m/INVALID_MDI_MSG
1972 MDI:d2m/INVALID_MDI_MSG
1973 MDI:d2m/INVALID_MDI_MSG
1974 MDI:d2m/RESPONSE_LOCAL
1975 MDI:d2m/INVALID_MDI_MSG
1976 MDI:d2m/INVALID_MDI_MSG
1977 MDI:d2m/INVALID_MDI_MSG
1978 MDI:d2m/INVALID_MDI_MSG
1979 MDI:d2m/INVALID_MDI_MSG
197A MDI:d2m/INVALID_MDI_MSG
197B MDI:d2m/INVALID_MDI_MSG
197C MDI:d2m/INVALID_MDI_MSG
197D MDI:d2m/INVALID_MDI_MSG
197E MDI:d2m/INVALID_MDI_MSG
197F MDI:d2m/INVALID_MDI_MSG
1980 MDI:d2m/RECEIVED_BLOCK
1981 MDI:d2m/MEAS_REQUEST
1982 MDI:d2m/INVALID_MDI_MSG
1983 MDI:d2m/RSSI_RESULTS
1984 MDI:d2m/RA_INFO
1985 MDI:d2m/INVALID_MDI_MSG
1986 MDI:d2m/BLOCK_REQUEST
1987 MDI:d2m/NO_BCCH_LEFT
1988 MDI:d2m/NEIGHBOUR_TIMING_OFFSET
1989 MDI:d2m/CHANNEL_CHANGED_CNF
198A MDI:d2m/NO_PSW_FOUND
198B MDI:d2m/ALL_RSSI_RESULTS
198C MDI:d2m/DOWNLINK_SIGNALLING_FAIL
198D MDI:d2m/FBUS_DISCONNECTED
198E MDI:d2m/FROM_FBUS_TO_MCU
198F MDI:d2m/NO_PSW_LEFT
1990 MDI:d2m/INVALID_MDI_MSG
1991 MDI:d2m/INVALID_MDI_MSG
1992 MDI:d2m/INVALID_MDI_MSG
1993 MDI:d2m/INVALID_MDI_MSG
1994 MDI:d2m/FBUS_ERROR
1995 MDI:d2m/IR_DISABLED
1996 MDI:d2m/LOOP_BACK_REPLY
1997 MDI:d2m/LOOP_BACK_SHORT_REPLY
1998 MDI:d2m/RTC_CALIBRATION_VALUE
1999 MDI:d2m/TXC_BIAS_MEAS
199A MDI:d2m/RECEIVED_DTE_DATA_BLOCK
199B MDI:d2m/RECEIVED_IRLAP_DATA_BLOCK
199C MDI:d2m/RECEIVED_TCH_DATA_BLOCK
199D MDI:d2m/INVALID_MDI_MSG
199E MDI:d2m/INVALID_MDI_MSG
199F MDI:d2m/INVALID_MDI_MSG
19A0 MDI:d2m/INVALID_MDI_MSG
19A1 MDI:d2m/INVALID_MDI_MSG
19A2 MDI:d2m/INVALID_MDI_MSG
19A3 MDI:d2m/INVALID_MDI_MSG
19A4 MDI:d2m/INVALID_MDI_MSG
19A5 MDI:d2m/INVALID_MDI_MSG
19A6 MDI:d2m/INVALID_MDI_MSG
19A7 MDI:d2m/INVALID_MDI_MSG
19A8 MDI:d2m/INVALID_MDI_MSG
19A9 MDI:d2m/INVALID_MDI_MSG
19AA MDI:d2m/INVALID_MDI_MSG
19AB MDI:d2m/UNKNOWN_MDI_MSG
1C00 L1:ph_rr/RR->:ACTIVATE_CNF
1C01 L1:ph_rr/RR<-:ACTIVATE_REQ
1C02 L1:ph_rr/RR<-:DEACTIVATE_REQ
1C03 L1:ph_rr/RR<-:START_AG_LISTEN_REQ
1C04 L1:ph_rr/RR<-:STOP_AG_LISTEN_REQ
1C05 L1:ph_rr/RR<-:ASSIGN_REQ
1C06 L1:ph_rr/HANDOVER_REQ
1C07 L1:ph_rr/RR<-:FREQUENCY_REDEF_REQ
1C08 L1:ph_rr/RR<-:BACK_TO_PREV_CH_REQ
1C09 L1:ph_rr/RR<-:DECONFIG_REQ
1C0A L1:ph_rr/RR<-:CH_MODE_MODIFY_REQ
1C0B L1:ph_rr/RR<-:PHYS_INFO_REQ
1C0C L1:ph_rr/RR<-:CIPHER_START_REQ
1C0D L1:ph_rr/RR<-:CIPHER_STOP_REQ
1C0E L1:ph_rr/RR<-:PAGE_MODE_REQ
1C0F L1:ph_rr/RR->:AG_LISTEN_REJ
1C10 L1:ph_rr/RR<-:CONFIG_CNF
1C11 L1:ph_rr/RR->:ERROR_IND
1C12 L1:ph_rr/RR->:RANDOM_ACCESS_IND
1C13 L1:ph_rr/RR->:AG_TIMEOUT_IND
1C14 L1:ph_rr/RR->:RESEL_NEEDED_IND
1C15 L1:ph_rr/RR->:RESEL_FAIL_IND
1C16 L1:ph_rr/RR->:RESEL_IMPOSSIBLE_IND
1C17 L1:ph_rr/RR<-:STOP_RA_SENDING_REQ
1C18 L1:ph_rr/RR<-:LIMITED_SERVICE_REQ
1C19 L1:ph_rr/MDI->:TX_INIT
1C1A L1:ph_rr/RR<-:CONFIG_CHANGE_REQ
2000 SIM:fil_msg/UNKNOWN_CMD
2001 SIM:fil_msg/UPDATE_RECORD
2002 SIM:fil_msg/RESET_SIM
2003 SIM:fil_msg/DEACTIVATE_SIM
2004 SIM:fil_msg/UNBLOCK_GSM_APPLICATION
2005 SIM:fil_msg/SLEEP
2006 SIM:fil_msg/STATUS
2007 SIM:fil_msg/SELECT
2008 SIM:fil_msg/SEEK
2009 SIM:fil_msg/VERIFY_PIN
200A SIM:fil_msg/CHANGE_PIN
200B SIM:fil_msg/DISABLE_PIN
200C SIM:fil_msg/RENABLE_PIN
200D SIM:fil_msg/RUN_SIM_ALGORITHM
200E SIM:fil_msg/READ_BINARY
200F SIM:fil_msg/READ_RECORD
2010 SIM:fil_msg/GET_RESPONSE
2011 SIM:fil_msg/UPDATE_BINARY
2012 SIM:fil_msg/INVALIDATE
2013 SIM:fil_msg/REHABILITATE
2014 SIM:fil_msg/INCREASE
2015 SIM:fil_msg/RESET
2016 SIM:fil_msg/DEACTIVATE
2017 SIM:fil_msg/TERMINAL_PROFILE
2018 SIM:fil_msg/ENVELOPE
2019 SIM:fil_msg/FETCH
201A SIM:fil_msg/TERMINAL_RESPONSE
201B SIM:fil_msg/AUTHENTICATE
201C SIM:fil_msg/AKEY_VALIDATE
201D SIM:fil_msg/ASK_RANDOM
201E SIM:fil_msg/UPDATE_SSD
201F SIM:fil_msg/CONFIRM_SSD
2020 SIM:fil_msg/CMEA_ENCRYPT
2021 SIM:fil_msg/SWITCH_TO_5V
2022 SIM:fil_msg/VOLTAGE_SET
2023 SIM:fil_msg/SEND_ADM_CODE
2100 SIM_L2:msg/MSG_DATA
2200 SIM_L2:data/RECEIVED_DATA
2201 SIM_L2:data/SENT_DATA
2300 SIM_L2:resp/UNKNOWN_PRIMITIVE
2301 SIM_L2:resp/CARD_NOT_OK
2302 SIM_L2:resp/BINARY_DATA_AVAIL
2303 SIM_L2:resp/FORMATTED_DATA_AVAIL
2304 SIM_L2:resp/SRES_KC_DATA_AVAIL
2305 SIM_L2:resp/DFIELD_INFO_AVAIL
2306 SIM_L2:resp/DIR_INFO_AVAIL
2307 SIM_L2:resp/ATR_TRACE
2308 SIM_L2:resp/MEMORY_PROBLEM
2309 SIM_L2:resp/OK
230A SIM_L2:resp/DFIELD_NOT_SELECTED
230B SIM_L2:resp/PATTERN_NOT_FOUND
230C SIM_L2:resp/OUT_OF_RANGE
230D SIM_L2:resp/ILLEGAL_OPERATION
230E SIM_L2:resp/NO_PIN
230F SIM_L2:resp/SECURITY_VIOLATION
2310 SIM_L2:resp/PIN_STATUS_MISMATCH
2311 SIM_L2:resp/CARD_BLOCKED
2312 SIM_L2:resp/TECH_PROB_NO_DIAG
2313 SIM_L2:resp/CARD_DISCONNECTED
2314 SIM_L2:resp/ICC_INSERTED
2315 SIM_L2:resp/MAX_VALUE_REACHED
2316 SIM_L2:resp/DUALMODE_DATA_AVAIL
2317 SIM_L2:resp/3V_SIM
2318 SIM_L2:resp/5V_SIM
2319 SIM_L2:resp/ENHANCED_PTS
231A SIM_L2:resp/ATR_FAILED
231B SIM_L2:resp/ERROR_IN_ATR
231C SIM_L2:resp/SEND_FAILED
231D SIM_L2:resp/PARITY_ERROR
231E SIM_L2:resp/TIMEOUT_ERROR
231F SIM_L2:resp/COMM_ERROR
2320 SIM_L2:resp/OVERFLOW_ERROR
2321 SIM_L2:resp/RESP_NOT_OK
2322 SIM_L2:resp/FETCH_REQUEST
2323 SIM_L2:resp/PROACTIVE_CMD
2324 SIM_L2:resp/INCREASE_INFO
2325 SIM_L2:resp/ENVELOPE_RESP
2326 SIM_L2:resp/INVALIDATION_STATUS_MISMATCH
2327 SIM_L2:resp/DUALMODE_SIM_SSD_IS_INCORRECT
2328 SIM_L2:resp/CARD_NOT_OK
2329 SIM_L2:resp/ENVELOPE_RESP_AVAILABLE
232A SIM_L2:resp/ATR_RECIEVED
232B SIM_L2:resp/CARD_BUSY
2400 L2:prim/RR->:EST_REQ
2401 L2:prim/RR->:RELEASE_REQ
2402 L2:prim/RR->:ABORT_REQ
2403 L2:prim/RR->:DATA_REQ
2404 L2:prim/RR->:UNIT_DATA_REQ
2405 L2:prim/RR->:SUSPEND_REQ
2406 L2:prim/RR->:RESUME_REQ
2407 L2:prim/RR->:RESUME_COMPLETE_REQ
2408 L2:prim/RR->:LOCAL_RELEASE_REQ
